asset	allocation
AAPL	0.10465240272515193
SPY	0.8704388675412572
TSLA	-3.7077286902371105e-19
BAC	0.024908729733590807
NVDA	-3.2735242717515264e-19
GOOG	-2.96892767664787e-19
