asset	allocation
AAPL	1.9449808354115177e-11
SPY	4.40544050044953e-12
TSLA	3.078710899781309e-09
BAC	6.602070407488497e-10
NVDA	1.5615009623447153e-08
GOOG	0.9999999806222173
