date	AAPL	SPY	TSLA	BAC	NVDA	GOOG
2024-09-30	231.06707763671875	562.21044921875	261.6300048828125	37.95854568481445	121.25054931640625	166.0280303955078
2024-10-31	224.03590393066406	557.1935424804688	249.85000610351562	40.005706787109375	132.55287170410156	171.4898223876953
2024-11-29	235.62010192871094	590.4208984375	345.1600036621094	45.44886016845703	138.03433227539062	169.3050994873047
2024-12-31	248.61578369140625	576.2152709960938	403.8399963378906	42.27717971801758	134.0897216796875	189.3310089111328
2025-01-31	234.29966735839844	591.6904296875	404.6000061035156	44.53772735595703	119.89093780517578	204.4027099609375
2025-02-28	240.36160278320312	584.178955078125	292.9800109863281	44.345340728759766	124.73369598388672	171.21710205078125
2025-03-31	220.77207946777344	551.62890625	259.1600036621094	40.39499282836914	108.22832489013672	155.49716186523438
2025-04-30	211.20095825195312	546.8462524414062	282.1600036621094	38.60417556762695	108.76756286621094	160.1352996826172
2025-05-30	199.8839569091797	581.2127685546875	346.4599914550781	42.71821594238281	134.94088745117188	172.03919982910156
2025-06-30	204.18316650390625	611.0790405273438	317.6600036621094	46.07609939575195	157.77987670898438	176.77011108398438
2025-07-31	206.57162475585938	625.1531982421875	308.2699890136719	46.027408599853516	177.63340759277344	192.1860809326172
2025-08-29	231.28562927246094	637.9810180664062	333.8699951171875	49.40619659423828	173.9483184814453	212.7838592529297
2025-09-30	253.69287109375	660.7061157226562	444.7200012207031	50.51326370239258	186.3423309326172	242.91586303710938
2025-10-31	269.37493896484375	676.4556274414062	456.55999755859375	52.334442138671875	202.23207092285156	281.0862121582031
2025-11-28	278.0930480957031	677.7747192382812	430.1700134277344	52.5302734375	176.7745361328125	319.2865295410156
2025-12-31	271.12200927734375	678.3152465820312	449.7200012207031	54.1319465637207	186.27281188964844	313.1871337890625
2026-01-30	258.775634765625	688.3121337890625	430.4100036621094	52.360355377197266	190.8971710205078	337.86883544921875
2026-02-27	263.7093811035156	682.3637084960938	402.510009765625	49.043548583984375	176.97415161132812	310.82177734375
2026-03-31	253.337890625	648.6688842773438	371.75	48.2518310546875	174.1969757080078	286.5014343261719
2026-04-30	270.86663818359375	716.8132934570312	381.6300048828125	52.9136962890625	199.33767700195312	381.4626159667969
2026-05-29	311.7911071777344	754.5361328125	435.7900085449219	51.07270812988281	210.8942108154297	375.9595031738281
2026-06-30	289.11065673828125	746.77001953125	420.6000061035156	56.690757751464844	200.08999633789062	353.1007385253906
2026-07-31	308.6438293457031	747.030029296875	311.2099914550781	61.63553237915039	200.75	356.4186096191406
2026-08-31	316.8500061035156	767.0499877929688	367.95001220703125	61.625579833984375	220.77999877929688	335.1923828125
