index	return	risk	AAPL	SPY	TSLA	BAC	NVDA	GOOG
0	0.014619988235579367	0.036683498528020664	0.10465240272512503	0.8704388675412805	2.4079360631690926e-20	0.02490872973359453	2.0219197434456513e-20	4.887157000791154e-20
1	0.01483554718184818	0.0367013991565966	0.11223689513025141	0.8399228159102546	2.29532529242572e-20	0.04784028895949393	1.9273970991536815e-20	4.6587514434915946e-20
2	0.015051106128116993	0.03675504873403679	0.11982138753537785	0.8094067642792288	2.182708296960903e-20	0.07077184818539337	1.832997438114133e-20	4.430034656768443e-20
3	0.015266665074385805	0.03684429109677731	0.12740587994050434	0.7788907126482028	2.0701472380426882e-20	0.09370340741129289	1.7385874733937555e-20	4.2015195741489924e-20
4	0.015482224020654618	0.03696886848416872	0.1349903723456308	0.7483746610171769	1.9572561480578592e-20	0.11663496663719235	1.6437267251395836e-20	3.972830141759514e-20
5	0.01569778296692343	0.03712842521799863	0.14257486475075712	0.7178586093861514	1.8443929879793417e-20	0.13956652586309143	1.548984897352562e-20	3.7436099519398114e-20
6	0.01591334191319224	0.03732251268243237	0.1501593571558835	0.6873425577551259	1.731838416931778e-20	0.16249808508899072	1.4544438278903435e-20	3.514878106820938e-20
7	0.016128900859461056	0.03755034772945404	0.1569718564440609	0.6587707172225638	-2.9340023296701143e-21	0.18336758856823948	1.0131122338821714e-20	0.0008898377651358392
8	0.016344459805729867	0.03779706214647269	0.15930147710533682	0.6414886954566738	-2.7849077329851225e-21	0.19226296244560126	9.59085547514482e-21	0.006946864992388231
9	0.01656001875199868	0.03805404727928998	0.16163109776661283	0.6242066736907832	-2.633151925057309e-21	0.20115833632296315	9.052321317631136e-21	0.013003892219640763
10	0.016775577698267492	0.03832109649909914	0.16396071842788879	0.6069246519248932	-2.487708053885987e-21	0.21005371020032482	8.51354079618202e-21	0.01906091944689315
11	0.016991136644536307	0.03859730593506947	0.16643914754201045	0.5899691069643838	-5.181000450483307e-21	0.21708135838625725	0.0025081972365096684	0.024002189870838922
12	0.017206695590805118	0.03887945304758849	0.16902443329034064	0.5732479990395594	-4.832894661743401e-21	0.22276782683949448	0.006817485133518697	0.028142255697086786
13	0.017422254537073932	0.039167056369873464	0.1716097190386706	0.5565268911147351	-4.485345802043338e-21	0.22845429529273178	0.011126773030527773	0.03228232152333478
14	0.017637813483342743	0.03945999659970807	0.17419500478700056	0.5398057831899108	-4.1371952283602105e-21	0.23414076374596926	0.015436060927536674	0.03642238734958272
15	0.017853372429611557	0.0397581557694018	0.1767802905353305	0.5230846752650865	-3.790507700015778e-21	0.2398272321992064	0.01974534882454577	0.040562453175830696
16	0.01806893137588037	0.040061417352435034	0.17936557628366065	0.5063635673402624	-3.443224935331783e-21	0.24551370065244363	0.024054636721554758	0.044702519002078576
17	0.018284490322149183	0.04036966635922158	0.18195086203199068	0.48964245941543766	-3.0950421574545278e-21	0.2512001691056812	0.028363924618563862	0.0488425848283266
18	0.018500049268417994	0.04068278942244089	0.18453614778032065	0.4729213514906138	-2.747765569118471e-21	0.2568866375589183	0.03267321251557274	0.05298265065457452
19	0.018715608214686805	0.04100067487241387	0.18712143352865057	0.4562002435657895	-2.3971544555721424e-21	0.2625731060121558	0.036982500412581706	0.05712271648082249
20	0.01893116716095562	0.04132321280301219	0.18970671927698063	0.4394791356409651	-2.051835702689829e-21	0.26825957446539295	0.04129178830959084	0.061262782307070475
21	0.019146726107224434	0.04165029512860131	0.19229200502531066	0.42275802771614085	-1.7047077433258873e-21	0.2739460429186303	0.04560107620659981	0.06540284813331841
22	0.019362285053493244	0.04198181563252199	0.1948772907736408	0.4060369197913163	-1.3548401780901977e-21	0.2796325113718677	0.04991036410360887	0.06954291395956633
23	0.019577843999762055	0.042317670007615785	0.19746257652197052	0.38931581186649267	-1.0058262705535501e-21	0.2853189798251048	0.05421965200061773	0.07368297978581427
24	0.01979340294603087	0.042657755889296156	0.20004786227030072	0.3725947039416679	-6.60474452217416e-22	0.29100544827834224	0.05852893989762678	0.07782304561206228
25	0.020008961892299684	0.04300197288165994	0.20263314801863072	0.35587359601684365	-3.120048142619374e-22	0.29669191673157946	0.06283822779463596	0.08196311143831024
26	0.020224520838568495	0.04335022257712376	0.2052184337669608	0.3391524880920192	3.7245451326250057e-23	0.3023783851848169	0.06714751569164494	0.08610317726455818
27	0.020440079784837306	0.04370240857005759	0.2078037195152908	0.32243138016719514	3.8439017563860897e-22	0.30806485363805414	0.07145680358865386	0.0902432430908061
28	0.02065563873110612	0.04405843646487283	0.21038900526362075	0.3057102722423707	7.312839536789229e-22	0.31375132209129153	0.0757660914856629	0.09438330891705414
29	0.02087119767737493	0.04441821387900627	0.2129742910119509	0.28898916431754657	1.0794441343458879e-21	0.3194377905445288	0.08007537938267181	0.09852337474330193
30	0.021086756623643746	0.04478165044122398	0.2155595767602808	0.2722680563927218	1.4286393902611344e-21	0.3251242589977662	0.08438466727968105	0.10266344056955007
31	0.021302315569912557	0.04514865778564989	0.21814486250861084	0.25554694846789794	1.773062161395341e-21	0.3308107274510035	0.08869395517668978	0.10680350639579796
32	0.02151787451618137	0.0455191495419059	0.22073014825694084	0.23882584054307363	2.1223216943011165e-21	0.3364971959042407	0.09300324307369895	0.11094357222204589
33	0.021733433462450182	0.045893041321729576	0.22331543400527076	0.22210473261824945	2.4728049080782114e-21	0.34218366435747793	0.09731253097070797	0.11508363804829387
34	0.021948992408718997	0.0462702507024166	0.2259007197536008	0.20538362469342483	2.8206479991432415e-21	0.3478701328107155	0.101621818867717	0.11922370387454184
35	0.022164551354987808	0.0466506972074149	0.2284860055019308	0.18866251676860077	3.1671077448958415e-21	0.3535566012639528	0.10593110676472599	0.12336376970078972
36	0.022380110301256622	0.04703430228437806	0.231071291250261	0.17194140884377643	3.51597504412479e-21	0.35924306971719006	0.11024039466173492	0.12750383552703762
37	0.022595669247525433	0.04742098928096623	0.233656576998591	0.15522030091895211	3.86047214519862e-21	0.3649295381704273	0.11454968255874408	0.1316439013532856
38	0.022811228193794247	0.047810683418663825	0.23624186274692105	0.1384991929941275	4.2100912284819765e-21	0.3706160066236647	0.11885897045575307	0.13578396717953367
39	0.02302678714006306	0.04820331176486524	0.23882714849525105	0.12177808506930352	4.557322304257708e-21	0.37630247507690184	0.12316825835276202	0.13992403300578155
40	0.02324234608633187	0.048598803203461854	0.24141243424358108	0.10505697714447938	4.906106861587319e-21	0.3819889435301393	0.12747754624977092	0.1440640988320294
41	0.023457905032600684	0.048997088404146565	0.24399771999191103	0.08833586921965475	5.253802961951934e-21	0.38767541198337674	0.1317868341467801	0.1482041646582775
42	0.023673463978869498	0.04939809979063578	0.24658300574024103	0.07161476129483044	5.599759453759085e-21	0.39336188043661396	0.13609612204378904	0.15234423048452553
43	0.02388902292513831	0.04980177150799342	0.24916829148857106	0.05489365337000649	5.949421751198742e-21	0.39904834888985113	0.14040540994079806	0.1564842963107733
44	0.02410458187140712	0.050208039389226126	0.25175357723690106	0.03817254544518173	6.2973491316801755e-21	0.40473481734308864	0.14471469783780713	0.16062436213702141
45	0.024320140817675934	0.05061684092130498	0.2543388629852311	0.02145143752035792	6.6430963289886475e-21	0.41042128579632575	0.1490239857348161	0.16476442796326918
46	0.02453569976394475	0.0510281152107564	0.25692414873356123	0.004730329595533147	6.99444634569682e-21	0.41610775424956326	0.1533332736318251	0.1689044937895173
47	0.02475125871021356	0.051445289415256806	0.2501339750463799	-3.26417963045021e-22	1.0883171727146919e-21	0.416143429155729	0.15809917664162584	0.17562341915626528
48	0.02496681765648237	0.05187767294694523	0.23964520798839262	-3.2606342194420277e-22	1.09098984362895e-21	0.41394988130254556	0.16304521307750566	0.18335969763155613
49	0.025182376602751185	0.0523254222133536	0.22915644093040521	-3.2650663273640107e-22	1.0963900681438311e-21	0.41175633344936247	0.16799124951338537	0.191095976106847
50	0.02539793554902	0.05278814621926073	0.21866767387241748	-3.287281582285423e-22	1.0993419916862622e-21	0.40956278559617904	0.17293728594926536	0.1988322545821381
51	0.02561349449528881	0.053265454703505584	0.2081789068144305	-3.2709993797682396e-22	1.1017365826710906e-21	0.40736923774299566	0.17788332238514515	0.2065685330574287
52	0.02582905344155762	0.05375695918038136	0.197690139756443	-3.3046560380759683e-22	1.1069221220617636e-21	0.40517568988981245	0.1828293588210249	0.2143048115327196
53	0.026044612387826436	0.05426227389186705	0.18720137269845552	-3.311334915872217e-22	1.111036226186008e-21	0.4029821420366291	0.18777539525690473	0.2220410900080106
54	0.026260171334095247	0.05478101667143124	0.1767126056404685	-3.3088934992534497e-22	1.1134153229981818e-21	0.4007885941834458	0.1927214316927844	0.22977736848330121
