	AAPL	SPY	TSLA	BAC	NVDA	GOOG
AAPL	0.0040141448743482916	0.0010530669314032363	0.0028287519633687776	0.0003596639069128009	0.0011062562604741294	0.002280023250142388
SPY	0.0010530669314032363	0.0013796406581618578	0.0028176131064628967	0.001388277440041878	0.0022785768438100384	0.0023384712570726396
TSLA	0.0028287519633687776	0.0028176131064628967	0.026124211134687	0.0019143426356751994	0.004504572134884828	0.005284945514630871
BAC	0.0003596639069128009	0.001388277440041878	0.0019143426356751994	0.003999751514666257	0.0025386755394315747	0.001880431543733361
NVDA	0.0011062562604741294	0.0022785768438100384	0.004504572134884828	0.0025386755394315747	0.008953509892587858	0.002768986296599106
GOOG	0.002280023250142388	0.0023384712570726396	0.005284945514630871	0.001880431543733361	0.002768986296599106	0.011465649528966159
